房间	Room
门派中，<font color=MYCOLOR>姜龙</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>妻子赏寄瑶</font>。	"In the sect, <font color=MYCOLOR>Jiang Long</font> quietly <font color=OBJCOLOR>played music</font>, when suddenly [HE] remembered [HIS] <font color=OBJCOLOR>wife Shang Jiyao</font>."
43天 09:52	43d 09:52
三更时分，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得很气闷。	"In the dead of night, <font color=MYCOLOR>Jianglong</font> unexpectedly felt choked up while <font color=OBJCOLOR>playing music</font>."
48天 00:42	48d 00:42
<font color=MYCOLOR>姜龙</font>因<font color=OBJCOLOR>心境圆润</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Jiang Long</font> is in a good mood due to <font color=OBJCOLOR>serene state of mind</font> and can't help but <font color=OBJCOLOR>play music</font> to express [HIS] feelings.
48天 03:35	48d 03:35
午时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	"At noon, <font color=MYCOLOR>Jiang Long</font> suddenly tears begin to fall while <font color=OBJCOLOR>playing music</font>."
48天 11:23	48d 11:23
日初之时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	"At sunrise, <font color=MYCOLOR>Jianglong</font> suddenly shed tears while <font color=OBJCOLOR>contemplating the sky</font>."
49天 08:32	49d 08:32
傍晚时分，<font color=MYCOLOR>姜龙</font>一个人<font color=OBJCOLOR>看天花板</font>，突然思绪万千。	"In the evening, <font color=MYCOLOR>Jiang Long</font> was alone <font color=OBJCOLOR>meditating upon the ceiling</font> when [HIM] was suddenly lost in thought."
49天 17:09	49d 17:09
万里无云，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然发出一声长叹。	"Under cloudless skies, <font color=MYCOLOR>Jiang Long</font> suddenly let out a long sigh while <font color=OBJCOLOR>observing the shifting clouds</font>."
51天 10:42	51d 10:42
52天 05:30	52d 05:30
姜	Jiang
龙	Long
师父	Master
赏	Shang
寄瑶	Jiyao
思淼	Simiao
申	Shen
语琴	Yuqin
保	Bao
建	Jian
百里	Baili
眉	Mei
落木尊者	Wood Deity
回春尊者	Reviving Spring Venerable
结丹下品！	core shaping Lower Tier!
晴空万里，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	"Under clear skies, <font color=MYCOLOR>Baili Mei</font> suddenly shed tears while <font color=OBJCOLOR>contemplating the heavens</font>."
7天 18:34	7d 18:34
<font color=MYCOLOR>百里眉</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>赏月</font>来放空心灵。	<font color=MYCOLOR>Baili Mei</font> is troubled by the emotion <font color=OBJCOLOR>'Need Weapon'</font> and can only <font color=OBJCOLOR>admire the moon</font> to clear [HIS] mind.
7天 22:50	7d 22:50
夜深之时，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，脑海中突然浮现<font color=OBJCOLOR>姜龙</font>的模样。	"Late at night, while <font color=MYCOLOR>Baili Mei</font> was <font color=OBJCOLOR>dancing</font>, the image of <font color=OBJCOLOR>Jiang Long</font> suddenly surfaced in [HER] mind."
10天 23:05	10d 23:05
晨光初露，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>灵晶墙</font>很有意思……	"As dawn broke, <font color=MYCOLOR>Baili Mei</font> suddenly found the nearby <font color=OBJCOLOR>Spirit Crystal Wall</font> quite captivating while <font color=OBJCOLOR>playing music</font>.."
13天 05:52	13d 05:52
日暮时分，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，不小心扭了一下脚。	"At dusk, <font color=MYCOLOR>Baili</font> accidentally twisted [HER] ankle while <font color=OBJCOLOR>dancing</font>."
13天 20:43	13d 20:43
晴空万里，<font color=MYCOLOR>百里眉</font>静静的<font color=OBJCOLOR>跳舞</font>，突然想起自己的<font color=OBJCOLOR>母亲颛孙眸微</font>。	"Under the clear sky, <font color=MYCOLOR>Baili Mei</font> quietly <font color=OBJCOLOR>dances</font>, when suddenly [SHE] remembers [HER] <font color=OBJCOLOR>mother Zhuansun Mouwei</font>."
14天 11:50	14d 11:50
四更时分，<font color=MYCOLOR>百里眉</font>静静的<font color=OBJCOLOR>跳舞</font>，突然想起自己的<font color=OBJCOLOR>母亲颛孙眸微</font>。	"During the fourth watch (03:00-05:00), <font color=MYCOLOR>Bai li Mei</font> silently <font color=OBJCOLOR>danced</font>, when suddenly the cultivator recalled <font color=OBJCOLOR>matriarch Zhuansun Mou wei</font>."
15天 02:39	15d 02:39
天朗气清，<font color=MYCOLOR>百里眉</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	"On a clear and sunny day, <font color=MYCOLOR>Baili</font> was alone <font color=OBJCOLOR>performing music cultivation</font> when [HER] was suddenly lost in thought."
15天 11:20	15d 11:20
门派中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，忍不住轻声和唱了起来。	"In the sect, <font color=MYCOLOR>Baili Mei</font> couldn't help but hum along softly while <font color=OBJCOLOR>playing music</font>."
17天 05:51	17d 05:51
浮躁的气氛中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>看天花板</font>时，突然发出一声长叹。	"In the restless atmosphere, <font color=MYCOLOR>Baili Mei</font> suddenly gave a deep sigh while <font color=OBJCOLOR>contemplating the ceiling</font>."
17天 07:31	17d 07:31
浮躁的气氛中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>读书品卷</font>时，突然觉得莫名烦躁。	"In the restless atmosphere, <font color=MYCOLOR>Baili Mei</font> suddenly felt inexplicably irritable while <font color=OBJCOLOR>reading scrolls</font>."
17天 09:41	17d 09:41
晴空万里，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，脑海中突然浮现<font color=OBJCOLOR>董之柔</font>的模样。	"Under the clear sky, <font color=MYCOLOR>Baili Mei</font> suddenly envisioned <font color=OBJCOLOR>Dong Zhirou</font>'s face while <font color=OBJCOLOR>playing music</font>."
18天 10:02	18d 10:02
门派中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>看天花板</font>时，突然想去<font color=OBJCOLOR>中原</font>看看。	"Within the sect, <font color=MYCOLOR>Baili Mei</font> suddenly wanted to visit <font color=OBJCOLOR>Central Plains</font> while <font color=OBJCOLOR>staring at the ceiling</font>."
19天 18:34	19d 18:34
万里无云，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，不小心踢到了旁边的<font color=OBJCOLOR>灵石墙</font>。	The sky was cloudless. <font color=MYCOLOR>Baili Mei</font> accidentally kicked the nearby <font color=OBJCOLOR>Spirit Stone Wall</font> while <font color=OBJCOLOR>dancing</font>.
20天 00:42	20d 00:42
五更时分，<font color=MYCOLOR>百里眉</font>一个人<font color=OBJCOLOR>跳舞</font>，突然思绪万千。	"At the fifth watch, <font color=MYCOLOR>Baili Mei</font> was suddenly lost in thought while <font color=OBJCOLOR>dancing</font>."
20天 03:19	20d 03:19
日夕之刻，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，突然想吃<font color=OBJCOLOR>猪肉饼</font>。	"At sunset, <font color=MYCOLOR>Baili Mei</font> suddenly craves <font color=OBJCOLOR>Stir-fried Pork with Green Pepper</font> while <font color=OBJCOLOR>dancing</font>."
20天 19:32	20d 19:32
漫卷银屑中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，脑海中突然浮现<font color=OBJCOLOR>轩辕士</font>的模样。	"Amid swirling silver snowflakes, while <font color=MYCOLOR>Baili Mei</font> is <font color=OBJCOLOR>dancing</font>, the image of <font color=OBJCOLOR>Xuanyuan Shi</font> suddenly flashes through [HER] mind."
22天 18:56	22d 18:56
门派中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>看天花板</font>时，脑海中突然浮现<font color=OBJCOLOR>席信</font>的模样。	"In the sect, <font color=MYCOLOR>Baili Mei</font> suddenly envisioned <font color=OBJCOLOR>Xi Xin</font>'s face while <font color=OBJCOLOR>staring at the ceiling</font>."
22天 19:39	22d 19:39
万里无云，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	"Under cloudless skies, <font color=MYCOLOR>Baili Mei</font> felt strangely agitated while <font color=OBJCOLOR>staring at the ceiling</font>."
23天 19:06	23d 19:06
黄昏时分，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，突然流下眼泪。	"At dusk, <font color=MYCOLOR>Baili Mei</font> suddenly shed tears while <font color=OBJCOLOR>dancing</font>."
24天 19:10	24d 19:10
天朗气清，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>看天花板</font>时，突然想去<font color=OBJCOLOR>万妖殿看看。	"On a crisp clear day, <font color=MYCOLOR>Baili Mei</font> suddenly wanted to visit <font color=OBJCOLOR>the Ten Thousand Demons Hall</font> while <font color=OBJCOLOR>gazing at the ceiling</font>."
26天 19:36	26d 19:36
污泥之上，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>轩辕士</font>的模样。	"Amidst the sludge, <font color=MYCOLOR>Baili Mei</font> suddenly recalled the image of <font color=OBJCOLOR>Xuanyuan Shi</font> while <font color=OBJCOLOR>looking around</font>."
28天 19:30	28d 19:30
天朗气清，<font color=MYCOLOR>百里眉</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>徒弟姜龙</font>。	"On a clear day, <font color=MYCOLOR>Baili Mei</font> quietly <font color=OBJCOLOR>played music</font>, when suddenly [SHE] remembered [HER] <font color=OBJCOLOR>disciple Jiang Long</font>."
29天 05:28	29d 05:28
绿荫之下，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>随便看看</font>时，突然想吃<font color=OBJCOLOR>卤牛肉</font>。	"Under the shade of trees, <font color=MYCOLOR>Baili Mei</font> suddenly craved <font color=OBJCOLOR>braised Bull Meat</font> while <font color=OBJCOLOR>idling around</font>."
29天 09:03	29d 09:03
门派中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>灵晶墙</font>很有意思……	"Within the sect, <font color=MYCOLOR>Baili Mei</font> found the nearby <font color=OBJCOLOR>Spirit Crystal Wall</font> particularly interesting while <font color=OBJCOLOR>playing music</font>.."
29天 15:30	29d 15:30
华灯初上，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>暮观日落</font>时，突然觉得旁边的<font color=OBJCOLOR>梧桐木法座</font>很有意思……	"As lanterns lit the evening, <font color=MYCOLOR>Baili</font> suddenly found the nearby <font color=OBJCOLOR>Parasol Wood Qi Cushion</font> rather fascinating while <font color=OBJCOLOR>contemplating the sunset</font>.."
29天 19:41	29d 19:41
夜半时分，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>读书品卷</font>时，脑海中突然浮现<font color=OBJCOLOR>席信</font>的模样。	"In the dead of night, while <font color=MYCOLOR>Baili Mei</font> is <font color=OBJCOLOR>reading and savoring scrolls</font>, the image of <font color=OBJCOLOR>Xi Xin</font> suddenly flashes through [HER] mind."
32天 23:03	32d 23:03
绿荫之下，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，突然觉得莫名烦躁。	"Beneath the shade of trees, <font color=MYCOLOR>Baili Mei</font> suddenly felt inexplicable irritation while <font color=OBJCOLOR>dancing</font>."
34天 22:06	34d 22:06
天朗气清，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得莫名烦躁。	"On a clear and sunny day, <font color=MYCOLOR>Baili</font> was suddenly seized by inexplicable irritation while <font color=OBJCOLOR>performing music cultivation</font>."
35天 11:08	35d 11:08
天朗气清，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，不小心踢到了旁边的<font color=OBJCOLOR>寒精墙</font>。	"On a clear day, <font color=MYCOLOR>Baili Mei</font> accidentally kicked the nearby <font color=OBJCOLOR>Ice Essence Wall</font> while <font color=OBJCOLOR>dancing</font>."
35天 12:49	35d 12:49
门派中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，突然觉得莫名烦躁。	"In the sect, <font color=MYCOLOR>Bailimei</font> abruptly felt inexplicably irritable while <font color=OBJCOLOR>dancing</font>."
35天 17:04	35d 17:04
酉时，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>看天花板</font>时，突然想吃<font color=OBJCOLOR>面粉</font>。	"At dusk (The Hour of Rooster 5-7pm), <font color=MYCOLOR>Baili Mei</font> suddenly had a craving for <font color=OBJCOLOR>Flour</font> while <font color=OBJCOLOR>gazing at the ceiling</font>."
36天 17:41	36d 17:41
星垂夜阔，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>随便看看</font>时，突然想去<font color=OBJCOLOR>紫霄宗看看。	"Beneath starry night skies, <font color=MYCOLOR>Baili Mei</font> suddenly felt compelled to visit <font color=OBJCOLOR>the Violet Heaven Sect</font> while <font color=OBJCOLOR>wandering aimlessly</font>."
37天 01:46	37d 01:46
日斜心慵，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得莫名烦躁。	"As the sun slanted and weariness set in, <font color=MYCOLOR>Baili Mei</font> suddenly felt unaccountably restless while <font color=OBJCOLOR>playing music</font>."
38天 13:06	38d 13:06
39天 10:26	39d 10:26
<font color=MYCOLOR>百里眉</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>Baili Mei</font> is troubled by the emotion <font color=OBJCOLOR>'Need Weapon'</font> and can only <font color=OBJCOLOR>play music</font> to clear [HIS] mind.
40天 00:25	40d 00:25
<font color=MYCOLOR>百里眉</font>因<font color=OBJCOLOR>吉宅</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Baili Mei</font> was in high spirits due to <font color=OBJCOLOR>auspicious abode</font> and couldn't help but <font color=OBJCOLOR>play music</font> to pour out [HIS] emotions.
40天 15:17	40d 15:17
<font color=MYCOLOR>百里眉</font>因<font color=OBJCOLOR>宛如仙境</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	"<font color=MYCOLOR>Baili Mei</font>, uplifted by the <font color=OBJCOLOR>fairyland-like scenery</font>, spontaneously began <font color=OBJCOLOR>playing music</font> to channel their delight."
41天 18:09	41d 18:09
万里无云，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，突然很想家。	"Under cloudless skies, <font color=MYCOLOR>Baili</font> was overcome with homesickness during <font color=OBJCOLOR>dancing</font>."
42天 10:50	42d 10:50
<font color=MYCOLOR>百里眉</font>因<font color=OBJCOLOR>普通的景观</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Baili Mei</font> was in good spirits due to <font color=OBJCOLOR>ordinary scenery</font> and couldn't help but <font color=OBJCOLOR>engaged in musical cultivation</font> to give vent to [HER] feelings.
42天 18:28	42d 18:28
崎岖山路上，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，突然想去<font color=OBJCOLOR>邪帝陵</font>看看。	"On the mountain path, <font color=MYCOLOR>Baili Mei</font> suddenly wants to visit <font color=OBJCOLOR>Evil Emperor's Mausoleum</font> while <font color=OBJCOLOR>dancing</font>."
42天 22:09	42d 22:09
晴空万里，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>火铜床</font>很有意思……	"Under boundless clear skies, <font color=MYCOLOR>Baili Mei</font> suddenly found the nearby <font color=OBJCOLOR>Igneocopper Bed</font> quite fascinating while <font color=OBJCOLOR>playing music</font>.."
43天 04:30	43d 04:30
夜半时分，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>看天花板</font>时，突然想去<font color=OBJCOLOR>合欢派看看。	"At midnight, <font color=MYCOLOR>Baili Mei</font> suddenly wished to visit <font color=OBJCOLOR>the Harmony Sect</font> while <font color=OBJCOLOR>staring at the ceiling</font>."
43天 23:15	43d 23:15
绿荫之下，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，脑海中突然浮现<font color=OBJCOLOR>席信</font>的模样。	"Under the shade of trees, <font color=MYCOLOR>Baili Mei</font> suddenly recalled the image of <font color=OBJCOLOR>Xi Xin</font> while <font color=OBJCOLOR>dancing</font>."
45天 22:03	45d 22:03
<font color=MYCOLOR>百里眉</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>看天花板</font>来放空心灵。	<font color=MYCOLOR>Baili Mei</font> was troubled by the need for a weapon and could only <font color=OBJCOLOR>stare at the ceiling</font> to clear [HER] mind.
46天 03:19	46d 03:19
晴空万里，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，突然想去<font color=OBJCOLOR>万妖殿看看。	"In clear blue skies, <font color=MYCOLOR>Baili Mei</font> suddenly wanted to visit <font color=OBJCOLOR>the Ten Thousand Demons Hall</font> while <font color=OBJCOLOR>playing music</font>."
46天 18:42	46d 18:42
晴空万里，<font color=MYCOLOR>百里眉</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>父亲百里西岭</font>。	"Under clear skies, <font color=MYCOLOR>Baili Mei</font> quietly <font color=OBJCOLOR>gazed at the ceiling</font>, suddenly recalling <font color=OBJCOLOR>their father Baili Xiling</font>."
47天 12:21	47d 12:21
门派中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>看天花板</font>时，突然想吃<font color=OBJCOLOR>熊肉</font>。	"Within the sect, <font color=MYCOLOR>Baili Mei</font> unexpectedly craved <font color=OBJCOLOR>Bear Meat</font> while <font color=OBJCOLOR>gazing at the ceiling</font>."
48天 03:36	48d 03:36
门派中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	"Within the sect, <font color=MYCOLOR>Baili Mei</font> suddenly felt homesick while <font color=OBJCOLOR>playing music</font>."
48天 13:00	48d 13:00
天朗气清，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>读书品卷</font>时，突然发出一声长叹。	"On a clear and bright day, <font color=MYCOLOR>Baili Mei</font> suddenly let out a long sigh while <font color=OBJCOLOR>perusing scrolls</font>."
50天 01:12	50d 01:12
夜半时分，<font color=MYCOLOR>百里眉</font>一个人<font color=OBJCOLOR>跳舞</font>，突然思绪万千。	"At midnight, <font color=MYCOLOR>Bailimei</font> was overwhelmed by a flood of thoughts while <font color=OBJCOLOR>dancing alone</font>."
50天 23:16	50d 23:16
晴空万里，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，突然流下眼泪。	"Under a cloudless sky, <font color=MYCOLOR>Baili Mei</font> suddenly shed tears while <font color=OBJCOLOR>dancing</font>."
51天 05:15	51d 05:15
徒弟	Disciple
西岭	Xiling
颛孙	Zhuansun
眸微	Mouwei
修罗陀	Asura Wheel
铁心尊者	Iron Heart Venerable
姜龙	Jiang Long
傀儡	Vessel
董之柔	Dong Zhirou
百里眉	Baili Eyebrow
万里无云，<font color=MYCOLOR>席信</font>在<font color=OBJCOLOR>奏乐</font>时，突然想去<font color=OBJCOLOR>七仟坞看看。	"Under cloudless skies, <font color=MYCOLOR>Xi Xin</font> suddenly felt the urge to visit <font color=OBJCOLOR>Seven Thousand Docks</font> while <font color=OBJCOLOR>playing music</font>."
11天 01:09	11d 01:09
万里无云，<font color=MYCOLOR>席信</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>父亲席才</font>。	"Under cloudless skies, <font color=MYCOLOR>Xi Xin</font> quietly <font color=OBJCOLOR>played music</font>, when [HE] suddenly remembered [HIS] <font color=OBJCOLOR>father Xi Cai</font>."
11天 19:04	11d 19:04
三更时分，<font color=MYCOLOR>席信</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	"In the dead of night, <font color=MYCOLOR>Xi Xin</font> was <font color=OBJCOLOR>playing music</font> alone when suddenly overwhelmed by waves of thoughts."
12天 00:29	12d 00:29
门派中，<font color=MYCOLOR>席信</font>在<font color=OBJCOLOR>看天花板</font>时，突然很想家。	"In the sect, <font color=MYCOLOR>Xi Xin</font> was overcome with homesickness during <font color=OBJCOLOR>gazing at the ceiling</font>."
12天 14:20	12d 14:20
<font color=MYCOLOR>席信</font>因<font color=OBJCOLOR>心境通明</font>心情不错，忍不住来<font color=OBJCOLOR>看天花板</font>抒怀。	<font color=MYCOLOR>Xi Xin</font> is in a good mood due to <font color=OBJCOLOR>enlightened state of mind</font> and can't help but <font color=OBJCOLOR>stare at the ceiling</font> to express [HIS] feelings.
13天 14:25	13d 14:25
门派中，<font color=MYCOLOR>席信</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>蛇肉</font>。	"Within the sect, <font color=MYCOLOR>Xi Xin</font> suddenly developed an appetite for <font color=OBJCOLOR>snake meat</font> while <font color=OBJCOLOR>playing music</font>."
15天 01:31	15d 01:31
辰时，<font color=MYCOLOR>席信</font>在<font color=OBJCOLOR>读书品卷</font>时，突然很想家。	"At dawn, <font color=MYCOLOR>Xi Xin</font> suddenly felt homesick while <font color=OBJCOLOR>reading scrolls</font>."
16天 08:44	16d 08:44
大雨倾盆，<font color=MYCOLOR>席信</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>父亲席才</font>。	"The rain poured heavily. <font color=MYCOLOR>Xi Xin</font> quietly <font color=OBJCOLOR>stared at the ceiling</font>, suddenly remembering <font color=OBJCOLOR>his father Xi Cai</font>."
17天 20:58	17d 20:58
万里无云，<font color=MYCOLOR>席信</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>母亲长孙晓夏</font>。	"Under cloudless skies, <font color=MYCOLOR>Xi Xin</font> quietly <font color=OBJCOLOR>played music</font>, when suddenly the cultivator remembered <font color=OBJCOLOR>matriarch Zhangsun Xiao xia</font>."
18天 00:43	18d 00:43
日禺之时，<font color=MYCOLOR>席信</font>一个人<font color=OBJCOLOR>凝神望天</font>，突然思绪万千。	"At late morning, <font color=MYCOLOR>Xi Xin</font> was alone <font color=OBJCOLOR>gazing contemplatively at the sky</font> when [HIM] was suddenly lost in thought."
18天 10:37	18d 10:37
天朗气清，<font color=MYCOLOR>席信</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得很气闷。	"On a clear and bright day, <font color=MYCOLOR>Xi Xin</font> suddenly felt stifled while <font color=OBJCOLOR>playing music</font>."
48天 02:50	48d 02:50
天朗气清，<font color=MYCOLOR>席信</font>在<font color=OBJCOLOR>读书品卷</font>时，突然觉得莫名烦躁。	"On a clear day, <font color=MYCOLOR>Xi Xin</font> suddenly felt unaccountably agitated while <font color=OBJCOLOR>perusing scrolls</font>."
48天 05:02	48d 05:02
绿荫之下，<font color=MYCOLOR>席信</font>在<font color=OBJCOLOR>读书品卷</font>时，突然想吃<font color=OBJCOLOR>兔肉</font>。	"Under the shade of trees, <font color=MYCOLOR>Xi Xin</font> suddenly craves <font color=OBJCOLOR>Rabbit Meat</font> while <font color=OBJCOLOR>reading scrolls</font>."
49天 21:17	49d 21:17
门派中，<font color=MYCOLOR>席信</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>母亲长孙晓夏</font>。	"In the sect, <font color=MYCOLOR>Xi Xin</font> quietly <font color=OBJCOLOR>played music</font>, when suddenly [HE] remembered [HIS] <font color=OBJCOLOR>mother Zhangsun Xiaoxia</font>."
50天 02:57	50d 02:57
晴空万里，<font color=MYCOLOR>席信</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	"Under the clear sky, <font color=MYCOLOR>Xi Xin</font> suddenly became lost in thought while <font color=OBJCOLOR>playing music</font> alone."
50天 11:17	50d 11:17
<font color=MYCOLOR>席信</font>被<font color=OBJCOLOR>有点热</font>的情绪困扰，只能<font color=OBJCOLOR>凝神望天</font>来放空心灵。	<font color=MYCOLOR>Xi Xin</font> is troubled by the emotion <font color=OBJCOLOR>'A Bit Hot'</font> and can only <font color=OBJCOLOR>gaze at the sky</font> to clear [HIS] mind.
50天 15:13	50d 15:13
门派中，<font color=MYCOLOR>席信</font>在<font color=OBJCOLOR>奏乐</font>时，脑海中突然浮现<font color=OBJCOLOR>谭杰</font>的模样。	"In the sect, <font color=MYCOLOR>Xi Xin</font> suddenly recalled the image of <font color=OBJCOLOR>Tan Jie</font> while <font color=OBJCOLOR>playing music</font>."
50天 18:00	50d 18:00
<font color=MYCOLOR>席信</font>因<font color=OBJCOLOR>多姿多彩</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Xi Xin</font> enjoys <font color=OBJCOLOR>vibrant surroundings</font> and impulsively <font color=OBJCOLOR>plays music</font> to express [HIS] feelings.
51天 12:45	51d 12:45
天朗气清，<font color=MYCOLOR>席信</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	"Under clear skies, <font color=MYCOLOR>Xi Xin</font> teared up during <font color=OBJCOLOR>performing music</font>."
52天 12:39	52d 12:39
52天 21:57	52d 21:57
席	Xi
信	Xin
才	Cai
长孙	Zhangsun
晓夏	Xiaoxia
江南散人	JiangNan Cult
轰雷尊者	Venerable Thunder Roar
包	Bao
仁	Ren
学智	Xuezhi
夏侯	Xiahou
娥	E
孔	Kong
玲	Ling
印	Yin
紫雪	Zixue
宣	Xuan
乐语	Yueyu
堵	Du
平春	Pingchun
邰	Tai
勇	Yong
武	Wu
邢	Xing
盼翠	Pancui
赫连	Helian
依珊	Yishan
德	De
苍	Cang
瑞	Rui
琳	Lin
商震	Shangzhen
端木	Duanmu
友巧	Youqiao
高	Gao
兰	Lan
辰	Chen
惠	Hui
慕青	Muqing
杭	Hang
群	Qun
淳于	Chunyu
映之	Yingzhi
玉堂	Yutang
乔	Qiao
依凝	Yining
姬	Ji
清	Qing
单于	Chanyu
彩	Cai
倪	Ni
风	Feng
克	Ke
海	Hai
娜	Na
双	Shuang
钧	Yun
辉	Hui
糜	Mi
歌阙	Geque
达	Da
殷	Yin
苑筠	Yuanyun
起灵	Qiling
乌	Wu
晓绿	Xiaolü
贾	Jia
全	Quan
尤	You
家	Jia
扫地	Sweep Floors
教学	Teaching
门	School
存档写入完成	Game Saved
松豪遇到瓶颈	Song Hao Hits a Bottleneck
食物储量不足	Insufficient food reserves.
仰厚需要砍伐工具	Yang Hou needs a tool for chopping
药物储量不足	Insufficient medicine reserves.
轩辕士：受伤	Xuanyuan Shi: hurt.
出现镇物！	Warding Object Appeared!
董之柔心境不稳	Dong Zhirou's mental state is unstable
姜龙心境不稳	Jiang Long's Mind is Unstable
天下传闻	World Adventure
天苍246年 春 第23日	Tiancang Year 246 Spring Day 23
